"id";"id_profesor";"id_centro";"curso_escolar_id";"fecha_registro";"D1_LID1";"D9_SO4";"D2_GE1";"D9_SO2";"D2_GE3";"D8_AP4";"D6_APD1";"D5_INT2";"D7_TC1";"D4_EE2";"D8_AP1";"D3_COM2";"D8_AP3";"D2_GE4";"D9_SO1";"D2_GE2";"D9_SO3";"D1_LID2";"D3_COM1";"D8_AP2";"D4_EE1";"D7_TC2";"D5_INT1";"D6_APD2";"P1_EJP1";"P3_ASO4";"P1_EJP3";"P2_AAP1";"P2_AAP3";"P3_ASO1";"P3_ASO3";"P1_EJP2";"P1_EJP4";"P2_AAP2";"P3_ASO2";"P2_AAP4";"A1_CF1";"A7_ASR2";"A2_INT1";"A6_DIS2";"A3_ESF1";"A5_COP2";"A4_COA1";"A1_CF2";"A5_COP1";"A4_COA2";"A6_DIS1";"A2_INT2";"A7_ASR1";"A3_ESF2";"F1_COP1";"F2_RES1";"F4_INT2";"F3_CON2";"F1_COP2";"F2_RES2";"F4_INT1";"F3_CON1";"CRD1";"CRSS1";"CRP1";"CRA1";"CRR1";"CRF1";"CRCC1";"CRD2";"CRP2";"CRA2";"CRF2";"CRCC2";"CRR2";"CRSS2";"D9_SO4X";"D9_SO2X";"D8_AP4X";"D5_INT2X";"D4_EE2X";"D3_COM2X";"D2_GE4X";"D2_GE2X";"D1_LID2X";"D8_AP2X";"D7_TC2X";"D6_APD2X";"P3_ASO4X";"P1_EJP2X";"P1_EJP4X";"P2_AAP2X";"P3_ASO2X";"P2_AAP4X";"A7_ASR2X";"A6_DIS2X";"A5_COP2X";"A1_CF2X";"A4_COA2X";"A2_INT2X";"A3_ESF2X";"F4_INT2X";"F1_COP2X";"F2_RES2X";"F3_CON2X";"SEGACOAL1X";"SEGPCON1X";"SEGACOAL2X";"SEGPCON2X";"SEGACOAL3X";"SEGPCON3X";"D_LID";"D_GE";"D_COM";"D_EE";"D_INT";"D_APD";"D_TC";"D_AP";"D_SO";"P_EJP21";"P_EJP22";"P_AAP21";"P_AAP22";"P_ASO21";"P_ASO22";"A_CF";"A_COP";"A_DIS";"A_ASR";"A_INT";"A_ESF";"A_COA";"F_COP";"F_RES";"F_CON";"F_INT";"P_CMR";"P_CMA";"SEGNoViol";"SEGNoAcoso";"SEGProfesorado";"SEGNoProbCond";"CRD";"CRP";"CRA";"CRF";"CRCC";"CRR";"CRSS";"DIRTot";"DIRComPart";"DIRGestion";"PROF_Ptot";"P_EJP";"P_AAP";"P_ASO";"ALUM_TOT";"ALUMConfianza";"ALUMCooper";"ALUMDis";"ALUMMot";"FAMcol_TOT";"ClimSEG";"EntornoFIS";"SATCENTRO_DIR_PROF";"SATCENTRO_DIR_PROF_AL";"SAT_AL_FAM";"SATTOT";"T_PROF_Ptot";"T_P_EJP";"T_P_AAP";"T_P_ASO";"T_ALUM_TOT";"T_ALUMConfianza";"T_ALUMCooper";"T_ALUMDis";"T_ALUMMot";"T_FAMcol_TOT";"CESTot";"T_CESTot";"T_DIRTot";"T_DIRComPart";"T_DIRGestion";"T_D_AP";"T_P_Ormot_Apr";"T_P_Ormot_Res";"T_SEGNoViol";"T_SEGNoAcoso";"T_SEGProfesorado";"T_SEGNoProbCond";"T_ClimSEG";"T_EntornoFIS";"T_SATTOT";"T_SATCENTRO_DIR_PROF";"T_SAT_AL_FAM";"T_SATCENTRO_DIR_PROF_AL"
454;"20010011";"00000001";2024;"2025-11-20 19:00:26";3;4;4;5;5;2;3;5;1;3;5;3;4;1;4;2;4;3;2;2;2;3;4;3;5;5;4;5;5;4;2;2;1;4;4;1;5;1;4;2;4;5;2;1;4;4;5;2;5;4;3;4;3;3;3;3;5;3;2;4;4;5;3;3;2;4;3;5;3;4;3;2;2;1;4;1;3;3;5;4;3;4;3;3;1;4;5;2;2;5;5;4;1;5;2;4;2;3;3;3;3;-3;-3;-3;-3;-3;-3;6;18;5;5;5;6;4;17;11;9;9;7;10;6;3;10;5;9;10;8;6;4;6;7;6;8;9;17;27;-9;27;-9;5;7;10;6;6;6;6;77.00;22.00;38.00;44.00;18.00;17.00;9.00;52.00;20.00;9.00;9.00;14.00;27.00;36.00;27.00;31.00;41.00;16.00;47.00;50.53;69.18;61.52;25.47;54.71;81.68;2.78;72.46;60.27;51.51;226.00;45.26;41.05;34.07;37.76;73.67;62.44;38.40;160.88;-98.82;149.02;-114.80;27.72;163.96;41.56;39.00;53.32;43.44
455;"20010012";"00000001";2024;"2025-11-20 19:00:27";4;5;5;5;5;4;5;3;4;2;3;1;3;2;5;1;3;2;4;3;5;3;5;1;4;2;4;5;3;4;3;3;1;2;1;2;3;3;2;4;2;2;4;2;4;2;2;4;3;4;4;4;2;2;4;4;3;4;4;4;5;4;3;4;5;5;5;5;5;3;3;4;1;1;2;3;4;5;4;5;4;3;3;5;4;3;5;4;5;4;3;2;4;4;4;2;2;4;2;2;4;-3;-3;-3;-3;-3;-3;8;19;9;9;8;10;7;11;10;7;9;9;7;9;7;7;8;4;6;4;4;8;6;6;8;7;13;16;27;-9;27;-9;9;10;9;9;8;6;8;91.00;36.00;44.00;48.00;16.00;16.00;16.00;41.00;13.00;16.00;4.00;8.00;27.00;36.00;27.00;41.00;50.00;18.00;59.00;58.94;56.65;55.79;61.09;27.28;28.24;53.32;28.60;24.66;51.51;236.00;51.13;57.28;70.10;52.05;34.33;56.10;60.50;160.88;-98.82;149.02;-114.80;27.72;163.96;64.48;61.50;67.46;62.19
456;"20010013";"00000001";2024;"2025-11-20 19:00:27";3;2;4;4;5;4;4;5;5;1;4;1;3;2;5;2;3;1;3;3;4;3;4;2;5;2;3;4;5;2;3;1;2;3;3;2;4;3;2;5;3;2;4;2;5;4;2;3;4;3;2;3;4;4;5;3;3;1;4;4;3;5;2;3;3;5;3;5;3;2;2;4;4;2;2;1;5;5;4;4;5;3;3;4;4;5;4;3;3;4;3;1;4;4;2;3;3;2;1;3;2;-3;-3;-3;-3;-3;-3;8;17;8;9;5;8;8;12;14;10;7;7;9;5;7;8;9;3;7;5;6;6;3;6;3;5;11;16;27;-9;27;-9;7;6;10;6;5;4;8;89.00;33.00;44.00;45.00;17.00;16.00;12.00;44.00;15.00;15.00;3.00;11.00;17.00;36.00;27.00;32.00;42.00;16.00;48.00;52.63;62.92;55.79;40.74;34.76;43.51;46.10;19.82;42.46;17.09;222.00;42.91;54.96;62.38;52.05;40.89;56.10;49.45;160.88;-98.82;149.02;-114.80;27.72;163.96;43.47;41.25;53.32;45.52
457;"20010014";"00000001";2024;"2025-11-20 19:00:27";4;3;4;3;4;3;3;5;4;4;4;4;3;3;4;4;4;4;2;4;3;4;3;4;5;3;3;3;3;3;2;3;4;3;3;3;3;3;2;3;3;4;1;3;4;4;3;3;3;4;3;3;3;3;4;3;3;3;2;3;3;3;2;3;3;3;3;3;1;2;3;3;3;3;3;1;2;2;3;2;2;2;2;2;3;3;2;3;3;3;3;3;2;3;2;3;2;3;2;3;3;-3;-3;-3;-3;-3;-3;6;13;4;5;4;5;6;12;14;8;5;6;6;6;5;6;6;6;6;5;5;3;5;6;6;6;14;18;27;-9;27;-9;5;6;6;4;5;5;6;69.00;20.00;37.00;36.00;13.00;12.00;11.00;37.00;12.00;9.00;6.00;10.00;23.00;36.00;27.00;27.00;33.00;10.00;37.00;33.70;37.84;32.87;35.65;17.31;20.61;2.78;46.14;36.53;37.75;197.00;28.23;31.77;28.92;35.38;40.89;68.79;66.02;160.88;-98.82;149.02;-114.80;27.72;163.96;22.45;30.00;10.92;26.77
458;"20010015";"00000001";2024;"2025-11-20 19:00:27";4;2;2;4;2;2;3;2;4;3;4;2;2;3;4;4;4;4;2;4;4;2;4;2;2;5;2;4;2;2;2;4;4;4;4;4;4;2;4;2;2;4;4;2;2;2;4;2;4;2;4;4;2;3;2;2;4;4;3;3;2;4;3;4;2;3;2;4;3;2;2;3;4;2;4;4;3;4;3;2;2;2;4;4;1;2;2;2;2;2;4;4;2;4;4;4;4;4;4;4;3;-3;-3;-3;-3;-3;-3;6;9;6;7;8;7;8;12;14;4;4;6;4;4;3;8;4;8;8;8;6;8;8;8;7;8;10;9;27;-9;27;-9;5;4;8;7;4;5;6;77.00;26.00;39.00;25.00;8.00;10.00;7.00;50.00;16.00;12.00;8.00;14.00;31.00;36.00;27.00;25.00;33.00;15.00;40.00;10.57;6.49;21.40;15.29;49.73;51.15;24.44;63.68;60.27;65.28;202.00;31.17;41.05;44.36;40.14;40.89;11.65;43.92;160.88;-98.82;149.02;-114.80;27.72;163.96;28.19;25.50;46.25;26.77
459;"20010016";"00000001";2024;"2025-11-20 19:00:27";3;4;4;4;4;4;3;4;4;2;4;4;4;3;5;2;3;2;4;2;4;2;4;2;4;2;4;4;4;4;3;2;4;2;2;2;4;2;4;2;4;2;4;2;5;2;4;2;4;2;4;4;2;2;2;2;4;4;3;4;4;5;2;5;4;4;4;5;4;4;3;4;2;2;2;2;4;2;3;4;4;4;4;4;4;4;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;-3;-3;-3;-3;-3;-3;7;15;6;8;6;7;8;14;12;8;6;8;8;8;7;8;9;8;8;8;8;8;8;8;8;8;11;16;27;-9;27;-9;7;8;10;9;8;5;8;83.00;28.00;41.00;45.00;14.00;16.00;15.00;57.00;16.00;17.00;8.00;16.00;32.00;36.00;27.00;36.00;46.00;19.00;55.00;52.63;44.11;55.79;56.01;67.18;51.15;60.54;63.68;72.14;68.73;244.00;55.82;48.01;49.51;44.90;54.00;56.10;49.45;160.88;-98.82;149.02;-114.80;27.72;163.96;56.84;50.25;74.52;53.85
460;"20010017";"00000001";2024;"2025-11-20 19:00:28";5;5;4;5;5;5;4;3;5;1;4;1;3;3;5;1;3;1;4;5;5;1;5;1;5;3;4;5;3;3;5;3;1;3;3;2;4;2;5;3;5;2;4;4;5;2;5;4;5;1;5;3;3;3;2;3;3;4;5;4;3;4;4;5;3;4;4;5;4;4;5;3;1;1;1;3;5;5;3;5;5;1;5;5;3;3;5;3;3;4;4;3;4;2;4;2;5;3;4;3;3;-3;-3;-3;-3;-3;-3;10;17;9;10;8;9;10;9;10;8;9;8;7;6;8;6;9;8;9;7;10;8;9;6;7;6;16;17;27;-9;27;-9;9;7;9;9;7;9;7;92.00;38.00;45.00;46.00;17.00;15.00;14.00;57.00;15.00;17.00;8.00;17.00;28.00;36.00;27.00;39.00;48.00;18.00;57.00;54.73;62.92;50.06;50.92;67.18;43.51;60.54;63.68;78.07;54.96;256.00;62.87;58.44;75.25;54.43;21.21;62.44;77.07;160.88;-98.82;149.02;-114.80;27.72;163.96;60.66;57.00;67.46;58.02
461;"20010018";"00000001";2024;"2025-11-20 19:00:28";4;5;4;5;4;3;5;2;4;1;4;4;5;2;5;1;4;3;5;1;5;2;4;3;1;3;4;4;4;4;3;2;1;2;3;1;4;1;4;2;5;1;5;1;5;1;5;4;5;2;4;4;5;3;2;1;3;4;5;4;5;5;5;3;4;3;3;4;4;5;4;4;1;1;3;4;5;2;4;5;3;5;4;3;3;4;5;4;3;5;5;4;5;5;5;2;4;1;4;5;3;-3;-3;-3;-3;-3;-3;7;17;7;10;8;8;8;17;11;5;9;8;9;7;6;9;10;9;10;6;9;10;8;9;7;4;12;20;27;-9;27;-9;8;8;9;7;9;9;8;93.00;32.00;44.00;44.00;14.00;17.00;13.00;63.00;19.00;20.00;9.00;15.00;28.00;36.00;27.00;42.00;51.00;16.00;58.00;50.53;44.11;61.52;45.83;82.14;74.05;82.20;72.46;66.20;54.96;260.00;65.22;59.60;59.81;52.05;73.67;81.49;54.97;160.88;-98.82;149.02;-114.80;27.72;163.96;62.57;63.75;53.32;64.27
462;"20020001";"00000002";2024;"2025-11-20 19:00:28";5;5;4;3;5;4;5;1;5;2;4;1;4;2;4;1;5;2;5;5;5;4;5;1;5;2;5;5;1;4;2;3;1;4;1;2;5;1;4;3;5;1;4;1;5;2;1;1;4;4;4;2;2;1;1;1;4;4;5;5;4;5;4;4;5;5;5;5;4;5;5;5;1;3;2;5;4;5;4;5;4;1;2;5;4;3;5;2;5;4;5;3;5;5;4;5;2;4;5;5;5;-3;-3;-3;-3;-3;-3;9;18;10;9;10;10;7;11;13;8;10;7;5;9;6;10;10;4;9;9;7;8;9;7;9;8;12;19;27;-9;27;-9;10;9;10;8;10;9;10;97.00;38.00;48.00;45.00;18.00;12.00;15.00;57.00;19.00;18.00;4.00;16.00;33.00;36.00;27.00;48.00;58.00;18.00;66.00;52.63;69.18;32.87;56.01;67.18;74.05;67.76;28.60;72.14;72.17;263.00;66.98;64.24;75.25;61.57;34.33;75.14;54.97;160.88;-98.82;149.02;-114.80;27.72;163.96;77.85;77.24;67.46;78.85
463;"20020002";"00000002";2024;"2025-11-20 19:00:28";3;4;4;4;3;5;4;3;4;4;4;4;4;3;4;3;4;3;3;3;3;4;3;4;5;5;4;1;2;3;1;4;3;3;2;5;5;3;4;5;4;3;4;5;5;1;3;4;4;4;4;4;4;4;3;4;4;4;4;5;2;5;4;4;3;4;5;5;4;4;4;4;2;2;1;3;2;2;3;3;3;3;2;2;1;2;3;3;4;1;3;1;3;1;5;2;2;2;3;2;2;-3;-3;-3;-3;-3;-3;6;13;5;5;6;6;6;12;12;7;7;4;3;7;2;6;8;4;7;6;6;9;7;6;6;6;14;15;27;-9;27;-9;9;7;10;8;7;8;9;71.00;22.00;37.00;30.00;14.00;7.00;9.00;46.00;13.00;17.00;4.00;12.00;25.00;36.00;27.00;39.00;49.00;18.00;57.00;21.08;44.11;4.21;25.47;39.75;28.24;60.54;28.60;48.40;44.63;201.00;30.58;34.09;34.07;35.38;40.89;49.75;66.02;160.88;-98.82;149.02;-114.80;27.72;163.96;60.66;57.00;67.46;60.10
